1,-40.53137132027023
2,-52.80736251643078
3,-53.608764099899126
4,-54.23194143001253
5,-54.26006480604041
6,-54.37744933206982
7,-54.50997309937945
8,-54.360315470913704
9,-54.609100357655976
10,-54.56558554703023
11,-54.56413810483871
12,-54.71125061094819
13,-54.840259958455526
14,-54.945850898093845
15,-54.90799502077224
16,-54.842919948708555
17,-55.163357910484216
18,-55.18221438602919
19,-55.16510578860597
20,-55.17413903645356
21,-55.19897149484221
22,-55.303763810047
23,-55.24758896417018
24,-55.31417856924861
25,-55.267972135750476
26,-55.38774101531515
27,-55.32084019769358
28,-55.27318628348282
29,-55.48405561657209
30,-55.31752623711026
31,-55.45599713405897
32,-55.468188816732216
33,-55.41839309125278
34,-55.52549620415257
35,-55.49955029116742
36,-55.48686977991831
37,-55.408964823507894
38,-55.50355880021947
39,-55.53948972748887
40,-55.58415381332683
41,-55.454553065822324
42,-55.538935486817266
43,-55.47257656944529
44,-55.60881842537904
45,-55.46334028496621
46,-55.53645294332502
47,-55.594326413830885
48,-55.608449503865586
49,-55.62124855420954
50,-55.633583429719366
51,-55.20746744355869
52,-55.5969657092436
53,-55.66618618024707
54,-55.559734984482446
55,-55.64070772226617
56,-55.57177777439859
57,-55.51581080259116
58,-55.560528876858974
59,-55.687159757914905
60,-55.4870974118792
61,-55.641242894920815
62,-55.4427110246512
63,-55.56722088817289
64,-55.66451867837928
65,-55.672030304872486
66,-55.657221074693965
67,-55.62425579417393
68,-55.522022417302026
69,-55.60195240120288
70,-55.64698065064852
71,-55.68098396988281
72,-55.73340822150708
73,-55.68679412836238
74,-55.65491984941405
75,-55.562412714797496
76,-55.67329407479359
77,-55.754943995871784
78,-55.745613768819815
79,-55.662093249150075
80,-55.56207503642545
81,-55.68109791249469
82,-55.67513577887008
83,-55.64758935615025
84,-55.68892226470053
85,-55.74060167485891
86,-55.623654120287526
87,-55.73143823359922
88,-55.43095826635528
89,-55.7140365775985
90,-55.709392344787844
91,-55.671067986178464
92,-55.75971447623667
93,-55.74239967264791
94,-55.70924769641125
95,-55.744248605722596
96,-55.71714114723796
97,-55.760586800399984
98,-55.604811217841885
99,-55.66402533256568
100,-55.692622950819676
101,-55.65470042104626
102,-55.76760670039076
103,-55.76462302729228
104,-55.746584678762915
105,-55.688569654378576
106,-55.6584057597965
107,-55.70926200714675
108,-55.75235449094543
109,-55.64637968626976
110,-55.72935467264248
111,-55.75200508459187
112,-55.6818725220181
113,-55.7774583093732
114,-55.79430101994492
115,-55.8256408704337
116,-55.64521435919158
117,-55.627567923272416
118,-55.78451379644197
119,-55.82006383879947
120,-55.81650127072492
121,-55.7542305598403
122,-55.79834709493996
123,-55.796237486011556
124,-55.67427335692466
125,-55.81898950488461
126,-55.596084656084656
127,-55.653057445200304
128,-55.75812547241119
129,-55.76767951625094
130,-55.823998488284204
131,-55.72827991420717
132,-55.807853517808056
133,-55.755792526357126
134,-55.77985378968673
135,-55.64778116786998
136,-55.80267924528302
137,-55.63895849056604
138,-55.77849056603774
139,-55.84202264150943
140,-55.82567547169811
141,-55.69218174684614
142,-55.358823263113415
143,-55.74630666384982
144,-55.65429015512766
145,-55.768779803223275
146,-55.818894252526775
147,-55.78953839191431
148,-55.81866043143762
149,-55.81832478503545
150,-55.77779076783828
151,-55.77192532722118
152,-55.75731346884613
153,-55.845161801073644
154,-55.110207189818446
155,-55.44859460763617
156,-55.72874393222179
157,-55.82264751108029
158,-55.822692736756416
159,-55.83505065275726
160,-55.736262700877376
161,-55.64614665903132
162,-55.80144820519003
163,-55.79947406492058
164,-55.794629132885255
165,-55.85048901413545
166,-55.81847112168961
167,-55.75744554246633
168,-55.75968636076045
169,-55.825686933204786
170,-55.84626480069898
171,-55.75437718294592
172,-55.849399313501145
173,-55.74418884740455
174,-55.82928610140913
175,-55.836783391545225
176,-55.77594147927391
177,-55.819914807790724
178,-55.808381498539994
179,-55.73159186008007
180,-55.819079442487734
181,-55.81116837195305
182,-55.81306048751129
183,-55.8659155883238
184,-55.856312067408965
185,-55.55871200722239
186,-55.725200739805125
187,-55.82586761698544
188,-55.771164140502826
189,-55.849407554432815
190,-55.842287681943944
191,-55.827224009380075
192,-55.7978398773375
193,-55.841384312428595
194,-55.60362801394985
195,-55.786580782875355
196,-55.76532398641541
197,-55.85195954677967
198,-55.861084813512456
199,-55.85917635921017
200,-55.87374898566405
201,-55.84500916438809
202,-55.84019410474445
203,-55.7641522189838
204,-55.8145788888555
205,-55.86338676722454
206,-55.81675598991173
207,-55.81327688704738
208,-55.854815949078244
209,-55.833663604155404
210,-55.847823965651834
211,-55.85573055797341
212,-55.87139073145841
213,-55.78618272953747
214,-55.74765134916109
215,-55.87671459014917
216,-55.81581730624981
217,-55.701116145098865
218,-55.83201566203606
219,-55.844999849980496
220,-55.85405727744607
221,-55.74654308767509
222,-55.81098713218753
223,-55.84931311677015
224,-55.862968295389784
225,-55.87023081076217
226,-55.82934205792409
227,-55.87281885231157
228,-55.82715341488277
229,-55.86277507945074
230,-55.864862535228156
231,-55.82946409849325
232,-55.876059671090076
233,-55.874666746547646
234,-55.86380792618998
235,-55.85546910103945
236,-55.6756623259991
237,-55.8162251160006
238,-55.84091453375243
239,-55.849917676994465
240,-55.8356383774884
241,-55.843991262194024
242,-55.871618588784486
243,-55.87424815967443
244,-55.882361302292175
245,-55.87080315997367
246,-55.829377542474276
247,-55.831359176836564
248,-55.808256311318495
249,-55.87445411581718
250,-55.90553586384303
251,-55.84689079273945
252,-55.87527286863431
253,-55.89156275231004
254,-55.83825244460393
